,rating,rating_title,rating_description,rating_pros,rating_cons
1455,3.0,Started off great became miserable,"If you work here, do not work in the creative media department. When i moved to that department i felt the culture wanted machines over employees. In a false sense of appeasing customers, they made the job stressful for employees",,
1456,3.0,Fun Environment,"Loved my team and we are all there dedicated to learn and assist while having fun, but there is no work life balance and hours are long with minimal breaks.You will work six 9 hour days in a row with one day off and then repeat.",,
1457,4.0,Incredible opportunity but can lead to misery,Too much of anything can be bad. This was my problem when working at Apple. My work life balance was awful due to the random scheduling and very very very demanding work. . This is a wonderful job that can really pay the bills but understand that may come at a cost.,,
1458,4.0,Great place to work,"I'd recommend anyone with a strong personality and good charisma work to there. It's not for the faint of heart. The products sell themselves, be prepared for all types of customer interactions.",,
1459,1.0,Pay is horrible,Need to have more permanent staff for better quality work. Days are dragged on and work is very simple . Managers and leads are very understanding but temp agency on site seems to get in the way of work getting done . Agency needs to be walking on floor more to get rid of employees  that don’t work.,Friendly environment,Lazy temp workers
1460,5.0,Great Job,"Fun and inviting. Meets people from different walks of life. Learn a lot of skills that can be applied anywhere in life, with or without Apple. Great experience",,
1461,5.0,Apple is great!,Working for Apple has been and honor for me. They are really oriented to make your working experience as an unforgettable one. . I hope I have the opportunity to work for Apple again,,
1462,5.0,Excelente ambiente de trabajo,"Excelente ambiente laboral, compañerismo, apoyo de los superiores.",,
1463,5.0,Amazing place to work,This was one of the best positions I have ever held. I recommend Apple as an employer quite frequently. It is absolutely a company that I would go back to in the future if the right opportunity presented itself.,,
1464,5.0,Always encouraged to follow your passions and grow within the company,"Everyone is really welcoming at work and we are all encouraged to support each other. We start our days with an update on how we are doing, news about the company, and what our team goals are for the day. Sometimes leaders and managers approach us to ask how we are doing and create a discussion on how we can better ourselves as people outside of work and in work. .  Apple is really welcoming to making sure its employees follow their passions. In some cases those passions can become instrumental for the work place and you are encouraged to share and them among your team.",,
1465,5.0,Review,"I enjoyed working for Apple. It was overall an amazing experience. I learned a lot about troubleshooting Mac, iPad, and iPhone as well as building customer cinnexfyon",,
1466,5.0,Apple workplace,"Great environment, not so competitive ( which I did not like) and work at your own pace ( which I also did not like). Great management and trainers and your floor manager always wanted to see you succeed.",,
1467,5.0,Great place to work with exceptional professionals around,"I enjoyed working there a lot. Steve Jobs' best product was not iPhone but Apple itself. It is very professional, horizontal, collaborative, down-to-earth environment. Decision power is concentrated at the HQ and especially at the top.",,
1468,5.0,It was ok depends on the store,"Since 2012 Apple has changed, instead on focusing on the customer you have to meet deadlines on your assignments. If you work on the floor you will be micro manage by the managers.",,
1469,3.0,Benefits,The benefits at Apple are great! One of the reasons why I work there til this day. I believe APPLE is a great company but the turn over rate is ridiculous,,
1470,5.0,The Best Job Ever,"Working at Apple was a great experience. Work never felt like work because I loved what I did and I loved interacting with the public.  The store was always electric, although others may say crazy.  I'd say electric because the experience was exhilarating.  .  The managers were all great and they were never above doing what they asked of their employees. .  The benefits and pay were amazing for a part time job.  .  Working for a company with a brand such as Apple and experience to match that brand made me want to stay forever.  .  This is a job I truly miss and I am thankful for the opportunity that I was given!",Work environment,Parking
1471,5.0,Fin,Very fun environment to work at . Fast passed environment. To advance is not hard just slow. Pay is great benefits  are great . 401k offered . Stock plan offered,,
1472,4.0,Fast-Paced environment that keeps you on your toes,"Things at Apple, or in the technology sphere in general, are ever-innovating and always evolving. If you're the type that is hungry for knowledge and growth, you'll fit right in. You get hands-on training with the latest technologies in a collaborative environment that fosters a thirst for learning.",,
1473,4.0,Environnement,Une équipe de jeunes sur le floor et un grand soutien des équipes,,
1474,5.0,Love working there,"I feel like around the holidays we shouldve been staffed better. Its a better experience to have happier customers than having them wait because we dont have enough people in the store. I get there are slow times, but id rather there be 5 people doing nothing for two hours than for 4 people to be working their butts off during busy hours and 3 customers impatiently waiting",,
1475,4.0,Great Job if you are a student or live at home,"This place is great for someone building a resume, still in school, having another lane of income, or not having to pay rent. Career advancement is v politick. Really hard to get fired. Low pay for cost of living. Still a cool and unique job.",,
1476,3.0,Great place to work as long as you do not work from home,"I worked with teleperformance USA for 6.5 years. In that time i had worked on-site and at home. The culture and management teams on-site were quite good, however after moving to a virtual environment, the care of employees was almost non-existent. Upper management had an incredible turn overrate. The turn over rate of upper management lead to issues with constant change of basic structure. There was no camaraderie, and all employees were looked at as a number. And management was no there to help employees grow, but more so fill a seat and speak to the client.",,
1477,5.0,Productive and creative place to work,"If you like growing every day and love challenges and creativity in an family like team, this is the right place to work. You have to be open minded and diverse to fit in. The",,
1478,5.0,Lavoro molto soddisfacente,"Purtroppo per far carriera bisogna cambiare un po’ spesso città e non mi era più possibile, ma ancora oggi Apple resta l’esperienza più bella della mia vita.",Buoni posto assicurazione sanitaria,Lavorare sempre nei weekend
1479,5.0,Alot of travel,100% travel through a consultant agency.. Surveying different areas of the country for there next generation technology. My employer was through a third party consultant company.,travel,Roomate
1480,5.0,excellente,très bonne entreprise avec une excellente dynamique,,
1481,5.0,Nice company and great job,"Good perks, excellent atmosphere and strong company culture, this is what defines Apple best! Highly recommended to work there, there are almost limitless opportunities!",,
1482,5.0,Great,Great place to work  great team and my manager is great and very knowledgeable  he is always available to help me with any issues and very understanding,,
1483,5.0,Priductive and fun work place with Table tenis,I have been working from Mo/Fr from 0800-0500 and have learned trouble shooting and instaling softwear.. and meanwhile i was doing customer service too.,,
1484,4.0,Corto pero bueno,"Mi experiencia no fue directamente por Apple sino a traves de una ett para una campaña, a pesar de que la campaña fue corta estuvo muy bien.",,
1485,4.0,Apple,I have only worked at apple for a year and I can say that it is definitely a great place to work. . My advice would be to hold your own while you are there and really push yourself past comfort zones so that you can be successful. They reward hard work (well some stores do),,
1486,3.0,Not like other retail,"It is a retail job, without a doubt. That comes with retail hours, retail expectations, and retail customers. However, it is worth saying that Apple retail is far from your regular retail experience. One I would gladly take up again.",,
1487,5.0,Fun,"I feel like working was here a very life altering job. Always new tings to learn, always growing. Amazing lessons that not only taught about the product but it actually grew you as a person and made you a better person.",,
1488,5.0,Amazing place to work,"Apple has an incredible job culture and training program! They give you all of the tools you need to succeed in your position. A very positive work environment, geared towards bettering your own position as well as offering a ridiculous amount of ways to do so!",,
1489,5.0,Satisfied,"on my present work they just relocated to other City, i need to look to another work that same city i live, as expidator for shipping and doing all paper work for reaceiving i am completely confidence for next company that o work on for any position.",,
1490,4.0,Good for resume,This was a fine place to work.  Loved the subsidized food and coffee/expressos.  Not a lot of cross over in departments.  People were very nice and helpful.,,
1491,5.0,The Best Job Ever,"Working at Apple was a great experience. Work never felt like work because I loved what I did and I loved interacting with the public.  The store was always electric, although others may say crazy.  I'd say electric because the experience was exhilarating.  .  The managers were all great and they were never above doing what they asked of their employees. .  The benefits and pay were amazing for a part time job.  .  Working for a company with a brand such as Apple and experience to match that brand made me want to stay forever.  .  This is a job I truly miss and I am thankful for the opportunity that I was given!",Work environment,Parking
1492,5.0,Best Retail Experience You'll Find,"Though things change, not always for the better, my experience with Apple has been WAY more than I ever expected. I have grown as a person and a professional, and I owe it to the culture I was hired into.",,
1493,5.0,Fun work place,The Day you arrive . -You have to be on time to pickup the calls . -You have to provide a fantastic customer service satisfaction to the customer and also respect the SLA .. -The metrics of sea is vital . _Training development every two weeks and meeting with your manager in a team every week to discuss about the improvement and dissatisfaction happen .. Training and test on the new services has been released and new procedure .,,
1494,5.0,Fun to work at the LOC conference,"It was fun to work here. I was a temporary hire for the LOC conference so I only stayed for four weeks, but I enjoyed helping the people I did. I'd definitely recommend it to others.",,
1495,5.0,Es uno de los mejores sitios donde trabajar.,Es una empresa con unos valores sociales enormes. Donde las personas importan. Un equipo colaborativo con un potencial enorme. Y una gran familia,Trabajo en equipo. Grandes personas. Compensación económica buena. Prestaciones sociales muy buenas.,Horario de centro comercial.
1496,4.0,Great place to make tips tips were better then pay,Hostess were working as servers when short of staff . hostess had multiple jobs when short of staff but didnt get paid nothing more then a hostess even when other duties called,,
1497,5.0,Great place to work,"It was great! As an Apple customer service agent I am tasked with going through a month long training course, graduating, from Apple in product and policy knowledge of all internal workings of the online and physical retail stores,  We were also tasked with creating a completely unique and delightful experience for each customer while at the same time, solving all of the customers current and future issues.  I definitely know the product and am excited to sell and talk about them with people each and every day.",,
1498,5.0,Temp Experience,"I worked in reception for 5 days. I really enjoyed the culture as the management was happy to provide complimentary tea, coffee, and snacks as well as catered meals for the employees that were training. I enjoyed that my job was self-motivated and I was able to do things at my own pace as I felt was priority.",,
1499,4.0,"Innovative, creative and fun place to work",- Is the place that allows you to create leaders instead of to create the followers.. - Is the place that gives you the feeling of bonding and one team one spirit.,,
1500,3.0,"Fast paced, but stressful.",Great culture and fun environment when not getting berated by customers. Hardest part of the job was dealing with difficult customers and management was not very supportive to back you up if you feel threatened.,,
1501,3.0,Not what you think,"Too few employees and stores servicing a massive number of customers. The policies that are in place make it difficult to provide quality customer service especially because the focus is on volume, not quality. If you want to get promoted then talk during meetings even if you’re not right or just rephrasing something. Hope you have tech experience because the training is bad.",Benefits and pay,"Training is poor, favoritism runs rampant, numbers are the only results they want, and too few employees."
1502,5.0,Great experience to interact and work with clients,-Organization promotes a learning culture. -Targets are achievable and flexible. -Products are easy to sell since they are top quality. -Focus on employee engagement and development is strong,,
1503,4.0,Not the Apple of my eye,"I'd been with Apple a long time, and things changed. Under Steve Jobs, it was a fun and thriving place with Managers who cared for you and wanted the best for you. But things changed once he passed.. Typical days would include meetings, figures would be talked about more and targets.. I learned that now in Apple, your life is only as easy as how easy you make your Line Manager's day. A lot of Managers only care about their progression, not your own. . That said, the peer culture - friendships and good times with everyone on your level is amazing. . If you aren't too bothered about progression and you want a good paying job (for retail) with great times with new friends, yes, that's Apple.",Good share scheme,Poor shift pattern.
1504,5.0,lots of perks for working there.,Productive and Fun place to work at with all the basic amenities available. Free lunches and cultural events time to time.  Stressful job as high number of call in flow,,
1505,4.0,"Productive, I and SRM team are focused on results. We complete projects and provide excellent customer service",Typical workday would be monitor processing of incoming deliveries from assorted carriers (USPS / FedEx / UPS / Amazon etc.). SRM team has tight window to process and prep for delivery. Our driver teams will do two or three delivery / pickup sweeps through course of the day. We manage customer requests with our online tool and forward new requests to our drivers as they come in  . Our team are very good at working together and willing to cover a coworkers delivery zone (all or in part) when needed.. I’d say headcount and staff budget are biggest challenge to our teams moral. As Manager you have to keep team motivated and positive while still following company direction.. Most rewarding days are when you see team members you’ve recruited and / or trained succeed and advance,,
1506,5.0,Great people and fun work,"Great place to start a career, you learn life skills that you can use at any job and you get to work with some of the brightest minds in the world. .  Simply puts its truly amazing.",,
1507,5.0,Apple,Working at apple I really learned a lot about How iPhones work and about what goes inside the phone..  It was really a great experience because that was my first job.,You get to see how to fixed a iPhone and what goes in it,You only get 3 request days off a year
1508,5.0,Great Place to be working,"been here for couple of months and it has been amazing. Coworkers support each other, managers are actually there to make sure you grow. . I have found a lot of success.",,
1509,4.0,You will do you life's best work here.,"You will do you life's best work here. It's a great company to work for and extremely smart, motivated and driven employees. . Overall, I really enjoy working here",,
1510,1.0,Lack of Morals,"Apple is great if you want to work for an unscrupulous company. The management is over paid and under performs, and does not support pursuit of greatness.",,
1511,4.0,Always evolving,This company constantly has changes and makes it adaptable to work with and for.  Would love more flexibility in work schedules but standard shift bid process. Management varies based on the team you are placed on and how much experience in the position the manager has.,,
1512,5.0,The Best Job Ever,"Working at Apple was a great experience. Work never felt like work because I loved what I did and I loved interacting with the public.  The store was always electric, although others may say crazy.  I'd say electric because the experience was exhilarating.  .  The managers were all great and they were never above doing what they asked of their employees. .  The benefits and pay were amazing for a part time job.  .  Working for a company with a brand such as Apple and experience to match that brand made me want to stay forever.  .  This is a job I truly miss and I am thankful for the opportunity that I was given!",Work environment,Parking
1513,5.0,work from home,Good place to work. Great Benefits. No guesswork with management. Always willing to help. Work from home equipment provided. Busy during or around product or software releases. Promoted quickly with more money provided for each product you learn about.,,
1514,5.0,Iconic Brand intent on making the world a better place than we found it.  Making products and services that genuinely enrich peoples lives.,in 20+ yrs of tech industry roles Apple will be the company I stay with until the end of my working days.  Its faced paced and exciting with new challenges around the corner every year.  There is a super strong culture that people work really hard to reinforce and retain.  There is a really great set of experienced and high performing people in the company and not everyone who joins is used to en environment where excellence is just expected.  This can take some adjusting too.  Benefits and pay are great and there have been extra days time off awarded throughout the company for several years running to reward employees for their hard work and effort.,,
1515,5.0,Culture,Great people to work with and an amazing culture  learned so much about business relationships and customer service  I am and always be an advant user of Apple products,,
1516,1.0,KPI driven. Non human aspects.,KPI driven. Non human aspects. All managers were good but expected too much. Targets were super unrealistic. Would not recommend anyone to work who os expecting to do a stress free job.,,
1517,5.0,Great job,"Great job, good people fun working experience, substantial pay,  just needed more hours. Overall it was an awesome learning experience with a lot of diversity",,
1518,5.0,productive and fun workplace,"Apple has productive and fun workplace. Environment is Quiet, discussion are mostly job oriented. Job security for the contract employees is a concern",,
1519,5.0,Apple was the perfect place to realize your skills,I was lucky because Apple gave me lots of autonomy to do a better job than the person I replaced. It allowed me to develop better systems and automation.,,
1520,4.0,Easy going place to work but with high standards,"Good work environment with good culture. Company has high standards, but is not stressful. People are expected mostly to manage their own workloads and to be self-starters.",,
1521,5.0,the work enviroment,Typical work days started with a staff meeting where daily duties were passed out to individuals. . Working within the department cross training learning the electrical path,good people to work with,changiong shift schedule
1522,4.0,Great job overall just leaves no room for anything else,"The job is great as far as pay and benefits but I work 11 hr shifts,  they do not have 8 hr shifts . They do offer advancements but it’s at their discretion.",,
1523,5.0,Amazing service,This was an amazing place to work. Great team players. All management team had an open office policy which was amazing. You were able to discuss what ever was on your mind.,,
1524,5.0,"The bigger the role, the better the jov",Leadership at Apple is top notch. There isn’t a sense that being junior position doesn’t mean you don’t have a say. There is room for employees to grow if you take the Apple specialist course.,"Lunch, work life balance",Intense
1525,5.0,Software Contractor,Enjoyed my time writing software for Apple; Apple shuns on providing specific information about the experience and I prefer not to hinder my re-employment opportunities. I discovered that Apple was more than willing to replace contractors with Swedish developers.,,
1526,3.0,Embrace the cult life or get left behind...,"The staff were great, the management no so great. One person would tell me one thing, the next would contradict the person before. .  If you spend more than 10-15 minutes with each customer, you get moaned at for it - even if that customer has had an extremely bad experience & upon your induction, you are told that you need to turn a detractor into a promotor. Complete nonsense..  The only real perks of the job is the discounts, other than that, prepare to work long hours, weekends & take stick from customers on a daily basis - even if you agree with them. .  What i'm saying is that if you dont do things the Apple way, your hands aren't build for clapping on a daily basis & you want a job where you can actually help people by providing proper customer service then this company is not one to work for.",,
1527,4.0,Alright transition for contractors,"I was a POI analyst and map editor as a contractor. Contractors don't have the benefits of Apple employees. There's plenty of mentoring and follow up. However, the management can be better. Food is expensive, but delicious.",Looks good on your resume,Monotonous
1528,4.0,Fun workplace with healthy challenges,"Managing projects in a fast paced environment is usually an intense experience.  It is no different here.  However, the team and culture keeps you motivated.",,
1529,5.0,Amazing experience and growth,Th most enjoyable part of my job was resolving whatever the issue a customer had. I put myself in their positions which allows me to better understand and work with the customer. No one wants to talk to someone who does not understand them or does not take the time to understand them.,,
1530,5.0,good place,Nice to work good people friendly people. good friendly working environment. a lot of diversity and different community people all working towards one common goal,friendly people,no dress code
1531,2.0,Popularity contest,Working for Apple is like reliving high school if you are in the popular crowd you advance if you aren’t you don’t advance simple as that. It doesn’t matter if you do an amazing job everyday and have amazing results. If you aren’t in the popular crowd you don’t get an opportunity to grow.,Good pay and benefits,Horrible management
1532,4.0,Good place if your face fits,dont want to put my thoughts Down has people need to decide for themselves if they get a position all i would say is do not tell anyone too much about yourself,,
1533,5.0,The Best Job Ever,"Working at Apple was a great experience. Work never felt like work because I loved what I did and I loved interacting with the public.  The store was always electric, although others may say crazy.  I'd say electric because the experience was exhilarating.  .  The managers were all great and they were never above doing what they asked of their employees. .  The benefits and pay were amazing for a part time job.  .  Working for a company with a brand such as Apple and experience to match that brand made me want to stay forever.  .  This is a job I truly miss and I am thankful for the opportunity that I was given!",Work environment,Parking
1534,4.0,Apple great place to work for advancement and do promote by performance.,"Apple has ton of benefits to offer, and training is great,  it you have to perform and grow you you want to advance in company. Apple is great place to learn with lists of careers promotions.",,
1535,5.0,Life Changing,Apple offers a platform for growth and self-exploration. Become your best person there. Great benefits. Amazing leadership. Great support. .  I loved the exposure to new technology and the ability to learn.,Development,N/a
1536,4.0,Always interesting,"Working at Apple was a challenge, but interesting. I left because I wanted to go back to school and get my masters in accounting. If you have worked other retail and was getting slightly burned out. Apple will burn you out faster than other places.",Benefits.,Hours
1537,5.0,Amazing,I love the people and culture. I have learned so much from others and now I am a resource to others. I have had nothing but a positive experience from the company.,,
1538,5.0,Fast paced environment great hours,"Great job to start my first job , I loved the environment and company i worked for . I went through a temp agency and that’s how I was placed with Apple .",,
1539,5.0,Fun and challenging,"Apple is a very fun and challenging work place to be in.  For sales, its all about results and customer stories.  . Collaboration among the different business units are very much encouraged.",,
1540,5.0,I loved this job,This job was so great it has one of the best training setups I've ever had. Also the management team was amazing. Wasn't much room for growth and they picked favorites.,"Free products, awesome work environment a lot of fun",Not a lot of chance for development
1541,5.0,Great company to work for,They do there best to help you advance within the company. Benefits package is great. Pay could be a bit more but its still very competitive. In my current position I get to work from home which is a great benefit to me personally.,,
1542,4.0,Not a Bad Entry,Subcontractor entry into sales.  Environment is positive.   Work is adequate hours can be a struggle.  Parent company has strict guidelines.  New product offerings bi-annually.,,
1543,4.0,Productive,"Working at Apple is a good experience, using their internal tools, good work environment. . The work culture is good, management is good. Work ethics. . Overall good.",,
1544,3.0,Need a more stable environment,Going through a third party call center company such as Convergys was not a good experience for me. They did really care for the employees. They were more concerned on getting their numbers up for the company tjam anything. I would work for Apple again just not through that company which has now been sold to Concentrix,"Close to home, overtime offered","Lack of support for the agents, lack of resources to assist customers more proficiently"
1545,4.0,"Great company environment, but low financial ceiling","Apple was a great place to launch my working career. I learned a lot of valuable skills working there, both personally and professionally. The pay is higher end retail level, unless you are able to fight through the political maze that is their career advancement process and make it to management or corporate, you will more likely flatline financially within a few years. The benefits are very good though, and they offer an amazing stock program, so if you are in a place financially to save money,  you can turn this into a solid situation, but if you pay rent, bills and have student loans its a very difficult balancing act to thrive and take full advantage of everything they have to offer.  I honestly did enjoy working there and made lifelong friends thanks to their amazing company culture and hiring standards, but the thing that eventually drove me away was the lack of valuable advancement opportunities and low wages. I would highly recommend a stint at Apple if you are fresh out of college and looking for a job, but the best way to a worthy career is to follow the technical path at the genius bar, get repair certified, and then find a similar (but less stressful) job doing the same thing for double the salary somewhere else, where they actually have budget to pay you fairly,",,
1546,2.0,"Working on contract, you don't get the same perks.","Working through a third party, a contractor, is a different experience from working directly for Apple. You will not receive the same benefits, compensation, nor will the position be permanent. They no longer hire contract employees.",Access to Apple bus,Working for contractor instead of Apple
1547,4.0,Tough place to be a contractor,Second class citizens is how I'd sum it up. Not much direction from FTEs. Kinda like in Silicon Valley when they're on the bench at Hooli.... Likely was just the group I was in I'd hope,,
1548,2.0,Apple phone support is a soul crushing job,Apple phone support is a soul crushing job. if you dont mind talking to inept rude people who feel they are entitled to the unfettered experience of the Apple staff. People refuse to understand or accept that there are educational programs required to use certain products and also refuse to consult documented resources available online.,stock program,
1549,5.0,It's Apple,"It's Apple. Their reputation for having a fun, casual place to work isn't just talk. Open offices, relaxed environments, and fun among coworkers is the norm.",,
1550,5.0,no review,"Apple was a great place to work. The only reason that I could not continue to work there was because they needed me to work at night from home, and have a quite space with i could not do because of my kids",,
1551,5.0,Productive & Fun Work Environment,A forward-thinking company - with a great collaborative ethos. Room for progression and opportunities for advancement if excellence and an eagerness to excel is shown.,,
1552,4.0,High energy workplace.,This role is not for people who are afraid to interact. Not an easy job but worth all of the hard work. You'll meet a lot of nice individuals who share the same love for Apple just as you do.,,
1553,3.0,Decline to answer,"Ran like a spring break bar b que.  people came dressed in flip flops and swim shorts, no profesional management, no oversight of employees, mgmnt. did not care.",,
1554,5.0,The Best Job Ever,"Working at Apple was a great experience. Work never felt like work because I loved what I did and I loved interacting with the public.  The store was always electric, although others may say crazy.  I'd say electric because the experience was exhilarating.  .  The managers were all great and they were never above doing what they asked of their employees. .  The benefits and pay were amazing for a part time job.  .  Working for a company with a brand such as Apple and experience to match that brand made me want to stay forever.  .  This is a job I truly miss and I am thankful for the opportunity that I was given!",Work environment,Parking
1555,2.0,Typical Run of the Mill Call Center,"Typical call center, bad hours and hard metrics.  The facility is really nice and does have free coffee.  Their tier 2 agents were hard to work with and often push back.  The ding you on everything from not using bomgar enough to escalated calls and handle times.",,
1556,2.0,"Great place to work, but little room for advancement","Really fun and cool place to work.  I had dreamed of working for Apple.  They also say there are so many different career paths, yet there are so many politics and you have to kiss so much tail to get anywhere there.  They don't truly value individuality, they want you to regurgitate their gibberish whether it comes to brand loyalty or gay and lesbian rights.  You literally have to be a robot to get anywhere here, and even then, you are expected to take on more roles than you get paid for.",,Vapid favoritism
1557,5.0,It is Apple,"Easiest the best Retailer to work for. They have fair pay, awesome benefits and perks. Apple is one of the companies taking over the world and its a good thing to be part of it.",,
1558,4.0,Formateur mais peu intéressant à long-terme,"Les plus : Belle culture d'entreprise, environnement stimulant et formateur, bons profils à manager. .  Les moins : salaires peu compétitifs, avantages très faibles, management très inégal.","Culture d'entreprise, beauté du cadre.","Salaires, avantages, management."
1559,5.0,Apple will always be in my heart,I loved working at Apple. It was the best place I ever worked. Working in the Genius Bar was an experience I will cherish the rest of my life. The people I worked with and the management were amazing. I would definitely work there again. It’s just very difficult to get hired but once you are it’s a great ride.,,
1560,5.0,Great work environment and great knowledgeable support team,I enjoyed working on the work at home team I was selected to be a part of.  The team that I was a part of was excited about work and also very supportive when assistance was needed,"breaks, support, schedule, work at home",n/a
1561,4.0,Good place for a short term job,"While the culture is really awesome, it is difficult to have a long-term career in Apple retail. You can do career experiences and learn more about different aspects of the company, but it is very difficult to get full-time hours even if your reviews are fantastic and you regularly go above and beyond. It was one of the best places I have ever worked, and I truly recommend it- you can’t do better as far as retail goes! But don’t anticipate making it your career by any means.",,
1562,5.0,Flexible work environment and good company culture,"Supportive team and great opportunity to work from home. Apple provides great training and competitive benefits. Hourly rate is not enough to cover the expenses if you are living in an expensive city, but since you are working from home, you can move to a more affordable city  and enjoy the flexibility of location.",,
1563,4.0,Production was interesting,"being on the production line was interesting, even though you were expected to reach certain quotas the pace was relaxed. the canteen was very good for food",,
1564,4.0,Had a wonderful experience but left to go back to school.,"I moved up very quickly and he training was top notch. We did have team restructuring and it was a bit too much but other than hat I had no complaints as. Had great opportunities and I worked from home . If I had the chance I would gladly take a position with them again. All benefits were great, customers were our number 1 focus with metrics coming second . The culture was amazing and I could always count on teammates and other employees for help with difficult issues. The  coaching was great and raises were fair and regularly offered. I still check regularly for open positions so that I can work for such a great company again. One of the best working experiences with amazing benefits . If i get the chance I will attempt to become apart of the company again as I love he products, the atmosphere, the customer focused support groups , the job variety , opportunities available and just everything as a company.",It’s Apple they were an amazing company to work for,10 hour shifts could drag on but overall few cons if any.
1565,3.0,Environnement de travail,"Apple a été une expérience formidable. J'ai par contre rencontré des collègues limites avec des réflexions sexistes, humiliantes sur mon physique, mais ce sont des minorités. Globalement ça été un rêve de travailler dans l'entreprise du feu et fameux Steve Job. Je voulais un autre poste et ça m'a contrarié d'être recruté pour un poste différent.. Belle expérience d'avoir été une pomme et très honoré d'avoir pu inscrire Apple sur mon CV.",,
1566,4.0,Loved the experience because I love the products,"Apple tells you they do retail differently, but I didn’t see that to be the case. It’s still retail—supply and demand. BUT I loved the customers’ loyalty to the brand. The customer was the best part of the job. I had some terrific managers as well. . I would have stayed at Apple but they only hire part-time to start. It is very difficult to get a full time position.",,
1567,3.0,N/a,Working from opportunity.  Pretty good support for their technicians.  Average benefits.  Good training.  Time off was good.  Pay was decent.  Didn’t micro manage.,,
1568,5.0,Great workplace along with amazing co-workers,"Apple gives you all the tools and training to help you succeed. It is a clean, friendly, and productive work environment. I highly recommend the company, but prepare to work hard!",They offer free food events sometimes and its a fun time.,Work schedule changes often if you work for applecare and getting hired on is very tough.
1569,1.0,"Tough, political work environment","I worked at Apple for 3 years, in AppleCare Training. It was competitive, political, and extremely siloed. A rough environment. I don't recommend it, even though it's Apple and it's cool.",,
1570,4.0,Fun working with apple,"It's nice working with then, been enjoying and less stress. I learned alot from then, they make all things easy and especially repairing apple products",,
1571,4.0,Good place to work for recent graduates,"I worked as a contractor at Apple fresh out of college which was really great for me to get professional experience in a field that is directly related to my degree. Overall it was a pleasant experience. Work conditions were fine; it's just normal office work really. The most difficult part of the job was meeting the expectations of project managers in California. They had a difficult time in the beginning communicating their expectations so we had a difficult time meeting them, but after several meetings this was rectified. . A typical day at work is sitting in front of a computer editing maps. It can get quite tedious but they allow you ample time for breaks.","Cafeteria on site with good food, really clean facility","Benefits aren't great, lacking job security as a contractor."
1572,5.0,"good comp, good benefit","This is lame I really do not feel like doing this at all, it was retail, fast-paced, but all around still retail. Your experience is completely contingent on your store, your store leader, and your connection leader. Those will make or break your work experience",,
1573,4.0,Frustrating at times but fun place to work,"I believe Apple is a good company to work for. However, they do want fast turnover at Apple because as the company changes, they want the employees to change with it and it seems they don't help their longer employees the ability to change with it.",,
1574,4.0,Good,Good to wok. A typical day at work. I have learned. Work place culture. They hardest part of job the most enjoyable part of job. A typical day at work.,,
1575,5.0,The Best Job Ever,"Working at Apple was a great experience. Work never felt like work because I loved what I did and I loved interacting with the public.  The store was always electric, although others may say crazy.  I'd say electric because the experience was exhilarating.  .  The managers were all great and they were never above doing what they asked of their employees. .  The benefits and pay were amazing for a part time job.  .  Working for a company with a brand such as Apple and experience to match that brand made me want to stay forever.  .  This is a job I truly miss and I am thankful for the opportunity that I was given!",Work environment,Parking
1576,5.0,"Challenging and competitive workplace, with world-class benefits.",The job is demanding and metrics are closely monitored. Schedules can be rough. The culture is great there though and Apple does have world-class benefits for their employees including on-site health services and gyms as well as a cafe. .  Hardest part of the job is the stress surrounding performance metrics. Best part of the job is the health benefits and vacation/sick time.,Great employee discount and health benefits,High stress performance based jobs
1577,5.0,service a la clientele,bomne entreprise et je suis fier de mon passage chez apple.  une compagnie tres dynamique,,
1578,5.0,Great place,Great place to work.. Managers was respectful the workers are wonderful. Hours they made fit your schedule.. they’re very understanding... they treat all employees with respect...,,
1579,5.0,Ambiente trabajo mas divertido,"Cada día el trabajo es diferente, se puede encontrar gente súper interesante y inteligente. Casi todos  los empleados tienen  pasión única. Lo que más me gustó del trabajo es cada día hay cosas nuevas y siempre cambiar las maneras para un mejor forma de trabajo.",,
1580,5.0,Awesome...but wouldn't go back,Apple has changed a lot since I was there. More corporate minded and has lost its way on the retail side. Services pushed over customer loyalty. Initially a great place to work.,,
1581,3.0,Company has lost its way,"The culture at Apple, Inc. has changed from a customer-focus to a profit driven model. Employees are overworked and micromanaged, by inexperienced managers who are not required to possess technical skills. Advancement is non-existent and only lateral moves are possible.",,
1582,5.0,Great Company to work for,"Great culture with opportunity and the support to grow and advance your career.. It's a fun environment that is constantly changing to improve the customer journey which is good.. Great leadership that supports and inspires personal development.. fantastic perks like discount, stock options, 401K etc.. Definitely the best company I've worked for.","Culture, leadership, benefits, pay",none
1583,4.0,Great for a part-time gig,"Part-time sales at Apple. Wonderful team to work with. Demanding for a part-time role, but I felt worth it. Hard to advance, despite experience, education, and demonstrated abilities.",,
1584,5.0,Hectic and fun,"Apple is one of the best companies I’ve ever worked for. They care very much about their employees and their customers. I was always supported in decision making and in growth. They were flexible with my schedule when I was a student, and they were always training their employees to be better. The benefits were awesome, even for part time workers, and the pay was great.",,
1585,5.0,so productive and learnable employment based,regular day starts with common scrum meetings and work assingments division of work great SDLC culture and required competitive spirit . a day with apple will be always good I feel,yeah free lunches,some times paid lunches
1586,4.0,Great retail experience,"Great for people to build their people skills encountering people form all walks of life on a daily basis. Great company motto, culture, and commission-less sales structure.",,
